n02119789	kit fox, vulpes macrotis
n02600503	red goatfish, mullus auratus
n02600798	yellow goatfish, mulloidichthys martinicus
n02600298	goatfish, red mullet, surmullet, mullus surmuletus
n02599958	mullet
n01316579	bottom feeder, bottom dweller
n01481498	rabbitfish, chimaera monstrosa
n01481331	chimaera
n01480880	holocephalan, holocephalian
n01483021	cow shark, six gilled shark, hexanchus griseus
n01483830	porbeagle, lamna nasus
n01484285	shortfin mako, isurus oxyrhincus
n01484447	longfin mako, isurus paucus
n01484562	bonito shark, blue pointed, isurus glaucus
n01484097	mako, mako shark
n01484850	great white shark, white shark, man eater, man eating shark, carcharodon carcharias
n01485479	basking shark, cetorhinus maximus
n01483522	mackerel shark
n01486010	thresher, thrasher, thresher shark, fox shark, alopius vulpinus
n01486540	carpet shark, orectolobus barbatus
n01486838	nurse shark, ginglymostoma cirratum
n01487506	sand tiger, sand shark, carcharias taurus, odontaspis taurus
n01488038	whale shark, rhincodon typus
n01489501	bull shark, cub shark, carcharhinus leucas
n01489709	sandbar shark, carcharhinus plumbeus
n01489920	blacktip shark, sandbar shark, carcharhinus limbatus
n01490112	whitetip shark, oceanic whitetip shark, white tipped shark, carcharinus longimanus
n01490360	dusky shark, carcharhinus obscurus
n01490670	lemon shark, negaprion brevirostris
n01491006	blue shark, great blue shark, prionace glauca
n01491361	tiger shark, galeocerdo cuvieri
n01491661	soupfin shark, soupfin, soup fin, galeorhinus zyopterus
n01488918	requiem shark
n01492569	smoothhound, smoothhound shark, mustelus mustelus
n01492708	american smooth dogfish, mustelus canis
n01492860	florida smoothhound, mustelus norrisi
n01493146	whitetip shark, reef whitetip shark, triaenodon obseus
n01492357	smooth dogfish
n01493829	atlantic spiny dogfish, squalus acanthias
n01494041	pacific spiny dogfish, squalus suckleyi
n01493541	spiny dogfish
n01491874	dogfish
n01494757	smooth hammerhead, sphyrna zygaena
n01494882	smalleye hammerhead, sphyrna tudes
n01495006	shovelhead, bonnethead, bonnet shark, sphyrna tiburo
n01494475	hammerhead, hammerhead shark
n01495493	angel shark, angelfish, squatina squatina, monkfish
n01482330	shark
n01496331	electric ray, crampfish, numbfish, torpedo
n01497413	smalltooth sawfish, pristis pectinatus
n01497118	sawfish
n01497738	guitarfish
n01498406	roughtail stingray, dasyatis centroura
n01498699	butterfly ray
n01498041	stingray
n01499396	spotted eagle ray, spotted ray, aetobatus narinari
n01499732	cownose ray, cow nosed ray, rhinoptera bonasus
n01498989	eagle ray
n01500476	atlantic manta, manta birostris
n01500854	devil ray, mobula hypostoma
n01500091	manta, manta ray, devilfish
n01501641	grey skate, gray skate, raja batis
n01501777	little skate, raja erinacea
n01501948	thorny skate, raja radiata
n01502101	barndoor skate, raja laevis
n01501160	skate
n01495701	ray
n01482071	elasmobranch, selachian
n01480516	cartilaginous fish, chondrichthian
n02512752	fingerling
n02512830	game fish, sport fish
n02513355	groundfish, bottom fish
n02514041	barracouta, snoek
n02530637	common american shad, alosa sapidissima
n02530831	river shad, alosa chrysocloris
n02530999	allice shad, allis shad, allice, allis, alosa alosa
n02530421	shad
n02532272	atlantic herring, clupea harengus harengus
n02532451	pacific herring, clupea harengus pallasii
n02532028	herring, clupea harangus
n02532786	sild
n02532918	brisling, sprat, clupea sprattus
n02532602	sardine
n02535163	blackfish
n02535258	redfish
n02535759	landlocked salmon, lake salmon
n02535537	atlantic salmon, salmo salar
n02536165	sockeye, sockeye salmon, red salmon, blueback salmon, oncorhynchus nerka
n02536456	chinook, chinook salmon, king salmon, quinnat salmon, oncorhynchus tshawytscha
n02536864	coho, cohoe, coho salmon, blue jack, silver salmon, oncorhynchus kisutch
n02534734	salmon
n02537716	sea trout
n02537319	brown trout, salmon trout, salmo trutta
n02537525	rainbow trout, salmo gairdneri
n02538010	lake trout, salmon trout, salvelinus namaycush
n02538216	brook trout, speckled trout, salvelinus fontinalis
n02537085	trout
n02539424	lake whitefish, coregonus clupeaformis
n02539573	cisco, lake herring, coregonus artedi
n02539894	round whitefish, menominee whitefish, prosopium cylindraceum
n02538985	whitefish
n02567334	blackmouth bass, synagrops bellus
n02567633	rock sea bass, rock bass, centropristis philadelphica
n02568087	striped bass, striper, roccus saxatilis, rockfish
n02568447	stone bass, wreckfish, polyprion americanus
n02569631	rock hind, epinephelus adscensionis
n02569484	hind
n02569905	creole fish, paranthias furcifer
n02570164	jewfish, mycteroperca bonaci
n02568959	grouper
n02587051	red snapper, lutjanus blackfordi
n02587300	grey snapper, gray snapper, mangrove snapper, lutjanus griseus
n02587479	mutton snapper, muttonfish, lutjanus analis
n02587618	schoolmaster, lutjanus apodus
n02587877	yellowtail, yellowtail snapper, ocyurus chrysurus
n02586543	snapper
n02627037	albacore, long fin tunny, thunnus alalunga
n02627292	bluefin, bluefin tuna, horse mackerel, thunnus thynnus
n02627532	yellowfin, yellowfin tuna, thunnus albacares
n02626762	tuna, tunny
n02664285	european sole, solea solea
n02664642	english sole, lemon sole, parophrys vitulus
n02665250	hogchoker, trinectes maculatus
n02663849	sole
n02512938	food fish
n02513248	rough fish
n02513727	parr
n02530052	whitebait
n02530188	brit, britt
n02535080	parr
n02513560	young fish
n02513805	mouthbreeder
n02513939	spawner
n02515713	coelacanth, latimeria chalumnae
n02515214	crossopterygian, lobefin, lobe finned fish
n02516776	ceratodus
n02516188	lungfish
n01429172	ostariophysi, order ostariophysi
n01438581	loach
n01440160	leather carp
n01440242	mirror carp
n01439808	domestic carp, cyprinus carpio
n01439514	carp
n01440764	tench, tinca tinca
n01441117	dace, leuciscus leuciscus
n01441272	chub, leuciscus cephalus
n01441910	common shiner, silversides, notropis cornutus
n01441425	shiner
n01442450	roach, rutilus rutilus
n01442710	rudd, scardinius erythrophthalmus
n01442972	minnow, phoxinus phoxinus
n01443243	gudgeon, gobio gobio
n01443537	goldfish, carassius auratus
n01443831	crucian carp, carassius carassius, carassius vulgaris
n01439121	cyprinid, cyprinid fish
n01444339	electric eel, electrophorus electric
n01445593	black buffalo, ictiobus niger
n01445429	buffalo fish, buffalofish
n01445857	hog sucker, hog molly, hypentelium nigricans
n01446152	redhorse, redhorse sucker
n01444783	catostomid
n01447139	mummichog, fundulus heteroclitus
n01447331	striped killifish, mayfish, may fish, fundulus majalis
n01447658	rivulus
n01447946	flagfish, american flagfish, jordanella floridae
n01446760	killifish
n01448291	swordtail, helleri, topminnow, xyphophorus helleri
n01448594	guppy, rainbow fish, lebistes reticulatus
n01446589	cyprinodont
n01449374	mosquitofish, gambusia affinis
n01449712	platy, platypoecilus maculatus
n01449980	mollie, molly
n01448951	topminnow, poeciliid fish, poeciliid, live bearer
n02583890	tetra
n02584145	cardinal tetra, paracheirodon axelrodi
n02584449	piranha, pirana, caribe
n02583567	characin, characin fish, characid
n01438208	cypriniform fish
n02518324	european catfish, sheatfish, silurus glanis
n02518622	electric catfish, malopterurus electricus
n02517938	silurid, silurid fish
n02519340	horned pout, hornpout, pout, ameiurus melas
n02519472	brown bullhead
n02519148	bullhead, bullhead catfish
n02519862	blue catfish, blue cat, blue channel catfish, blue channel cat
n02519686	channel catfish, channel cat, ictalurus punctatus
n02520147	flathead catfish, mudcat, goujon, shovelnose catfish, spoonbill catfish, pylodictus olivaris
n02520525	armored catfish
n02520810	sea catfish
n02517442	catfish, siluriform fish
n02522637	codling
n02522722	atlantic cod, gadus morhua
n02522866	pacific cod, alaska cod, gadus macrocephalus
n02523427	burbot, eelpout, ling, cusk, lota lota
n02522399	cod, codfish
n02523110	whiting, merlangus merlangus, gadus merlangus
n02523877	haddock, melanogrammus aeglefinus
n02524202	pollack, pollock, pollachius pollachius
n02524659	silver hake, merluccius bilinearis, whiting
n02524928	ling
n02524524	hake
n02525382	cusk, torsk, brosme brosme
n02525703	grenadier, rattail, rattail fish
n02521646	gadoid, gadoid fish
n02526425	elver
n02526818	common eel, freshwater eel
n02527057	tuna, anguilla sucklandii
n02527271	moray, moray eel
n02527622	conger, conger eel
n02526121	eel
n02529293	beaked salmon, sandfish, gonorhynchus gonorhynchus
n02531114	alewife, alosa pseudoharengus, pomolobus pseudoharengus
n02531625	menhaden, brevoortia tyrannis
n02533545	pacific sardine, sardinops caerulea
n02533209	pilchard, sardine, sardina pilchardus
n02529772	clupeid fish, clupeid
n02534165	mediterranean anchovy, engraulis encrasicholus
n02533834	anchovy
n02538562	arctic char, salvelinus alpinus
n02538406	char, charr
n02534559	salmonid
n02540983	sparling, european smelt, osmerus eperlanus
n02541257	capelin, capelan, caplin
n02540412	smelt
n02542017	ladyfish, tenpounder, elops saurus
n02541687	tarpon, tarpon atlanticus
n02542432	bonefish, albula vulpes
n02542958	argentine
n02543255	lanternfish
n02543565	lizardfish, snakefish, snake fish
n02544274	lancetfish, lancet fish, wolffish
n02545841	opah, moonfish, lampris regius
n02546028	new world opah, lampris guttatus
n02546627	dealfish, trachipterus arcticus
n02546331	ribbonfish
n02547014	oarfish, king of the herring, ribbonfish, regalecus glesne
n01454545	cornetfish
n01456137	dwarf pipefish, syngnathus hildebrandi
n01456454	deepwater pipefish, cosmocampus profundus
n01456756	seahorse, sea horse
n01455778	pipefish, needlefish
n01457082	snipefish, bellows fish
n01457407	shrimpfish, shrimp fish
n01457852	trumpetfish, aulostomus maculatus
n02550203	timucu
n02549989	needlefish, gar, billfish
n02550655	monoplane flying fish, two wing flying fish
n02550460	flying fish
n02551134	halfbeak
n02551668	saury, billfish, scomberesox saurus
n01450950	reef squirrelfish, holocentrus coruscus
n01451115	deepwater squirrelfish, holocentrus bullisi
n01451295	holocentrus ascensionis
n01451426	soldierfish, soldier fish
n01450661	squirrelfish
n01451863	anomalops, flashlight fish
n01452345	flashlight fish, photoblepharon palpebratus
n01453087	john dory, zeus faber
n01453475	boarfish, capros aper
n01453742	boarfish
n01455317	three spined stickleback, gasterosteus aculeatus
n01455461	ten spined stickleback, gasterosteus pungitius
n01454856	stickleback, prickleback
n02547733	batfish
n02548247	goosefish, angler, anglerfish, angler fish, monkfish, lotte, allmouth, lophius americanus
n02548884	oyster fish, oyster fish, oysterfish
n02548689	toadfish, opsanus tau
n02549248	frogfish
n02549376	sargassum fish
n02555863	perch
n02557182	yellow perch, perca flavescens
n02557318	european perch, perca fluviatilis
n02557909	blue pike, blue pickerel, blue pikeperch, blue walleye, strizostedion vitreum glaucum
n02557749	walleye, walleyed pike, jack salmon, dory, stizostedion vitreum
n02557591	pike perch, pike perch
n02558206	snail darter, percina tanasi
n02556846	perch
n02558860	cusk eel
n02559144	brotula
n02559383	pearlfish, pearl fish
n02560110	snook
n02559862	robalo
n02561381	northern pike, esox lucius
n02561514	muskellunge, esox masquinongy
n02561803	chain pickerel, chain pike, esox niger
n02561937	redfin pickerel, barred pickerel, esox americanus
n02561661	pickerel
n02561108	pike
n02562971	black crappie, pomoxis nigromaculatus
n02563079	white crappie, pomoxis annularis
n02562796	crappie
n01440467	european bream, abramis brama
n02563792	bluegill, lepomis macrochirus
n02563949	spotted sunfish, stumpknocker, lepomis punctatus
n02563182	freshwater bream, bream
n02563648	pumpkinseed, lepomis gibbosus
n02564403	rock bass, rock sunfish, ambloplites rupestris
n02564935	kentucky black bass, spotted black bass, micropterus pseudoplites
n02565072	smallmouth, smallmouth bass, smallmouthed bass, smallmouth black bass, smallmouthed black bass, micropterus dolomieu
n02565324	largemouth, largemouth bass, largemouthed bass, largemouth black bass, largemouthed black bass, micropterus salmoides
n02564720	black bass
n02562315	sunfish, centrarchid
n02564270	freshwater bass
n02565573	bass
n02566489	white perch, silver perch, morone americana
n02566665	yellow bass, morone interrupta
n02570484	soapfish
n02566109	serranid fish, serranid
n02571167	rainbow seaperch, rainbow perch, hipsurus caryi
n02570838	surfperch, surffish, surf fish
n02571652	bigeye
n02571810	catalufa, priacanthus arenatus
n02572484	flame fish, flamefish, apogon maculatus
n02572196	cardinalfish
n02573249	tilefish, lopholatilus chamaeleonticeps
n02573704	bluefish, pomatomus saltatrix
n02574271	cobia, rachycentron canadum, sergeant fish
n02576906	crevalle jack, jack crevalle, caranx hippos
n02577041	yellow jack, caranx bartholomaei
n02577164	runner, blue runner, caranx crysos
n02577403	rainbow runner, elagatis bipinnulata
n02577662	leatherjacket, leatherjack
n02577952	threadfish, thread fish, alectis ciliaris
n02578771	amberjack, amberfish
n02578928	yellowtail, seriola dorsalis
n02579303	kingfish, seriola grandis
n02576575	jack
n02578454	lookdown, lookdown fish, selene vomer
n02578233	moonfish, atlantic moonfish, horsefish, horsehead, horse head, dollarfish, selene setapinnis
n02579762	florida pompano, trachinotus carolinus
n02579928	permit, trachinotus falcatus
n02579557	pompano
n02580679	horse mackerel, jack mackerel, spanish mackerel, saurel, trachurus symmetricus
n02580830	horse mackerel, saurel, trachurus trachurus
n02581108	bigeye scad, big eyed scad, goggle eye, selar crumenophthalmus
n02581482	mackerel scad, mackerel shad, decapterus macarellus
n02581642	round scad, cigarfish, quiaquia, decapterus punctatus
n02580336	scad
n02576223	carangid fish, carangid
n02582220	coryphaena hippurus
n02582349	coryphaena equisetis
n02581957	dolphinfish, dolphin, mahimahi
n02586238	bolti, tilapia nilotica
n02585872	cichlid, cichlid fish
n02588794	margate, haemulon album
n02588945	spanish grunt, haemulon macrostomum
n02589062	tomtate, haemulon aurolineatum
n02589196	cottonwick, haemulon malanurum
n02589316	sailor's choice, sailors choice, haemulon parra
n02589623	porkfish, pork fish, anisotremus virginicus
n02589796	pompon, black margate, anisotremus surinamensis
n02590094	pigfish, hogfish, orthopristis chrysopterus
n02588286	grunt
n02592055	sheepshead, archosargus probatocephalus
n02592371	pinfish, sailor's choice, squirrelfish, lagodon rhomboides
n02593019	snapper, chrysophrys auratus
n02590495	sparid, sparid fish
n02582721	pomfret, brama raii
n02591330	red porgy, pagrus pagrus
n02592734	sheepshead porgy, calamus penna
n02593453	scup, northern porgy, northern scup, stenotomus chrysops
n02593679	scup, southern porgy, southern scup, stenotomus aculeatus
n02590987	porgy
n02591613	european sea bream, pagellus centrodontus
n02591911	atlantic sea bream, archosargus rhomboidalis
n02593191	black bream, chrysophrys australis
n02590702	sea bream, bream
n02594942	striped drum, equetus pulcher
n02595056	jackknife fish, equetus lanceolatus
n02595339	silver perch, mademoiselle, bairdiella chrysoura
n02595702	red drum, channel bass, redfish, sciaenops ocellatus
n02596067	mulloway, jewfish, sciaena antarctica
n02596252	maigre, maiger, sciaena aquila
